Unique ID,Leaf collected,Indumentum,Flower colour,Purple flushed,Node,Flower date,Height,Corolla size,Teeth,Branches,Leaf length,Internode length,Cauline ratio,Aborted node,Leaf circularity index,Capsule length,Capsule width,Calyx length,Calyx ratio,Notes
A1506,0,0,V,1,8,17/07/2018,43,6.6,3,2,3.6,6.3,1.75,,,,,,,
A1518,0,0,W,1,8,18/07/2018,30.7,4.4,1,0,3.3,7.5,2.272727273,,,,,,,
A1294,0,1,W,1,10,17/07/2018,54.5,6.1,5,0,7.2,6.7,0.930555556,,,,,,,
A565,0,1,W,0,9,17/07/2018,28.9,8.9,5,2,7.5,3.8,0.506666667,,,,,,,
B1216,1,1,W,0,8,20/07/2018,18.7,7.8,4,0,5.5,1.9,0.345454545,,,,,,,
A1016,0,1,W,0,11,18/07/2018,25,10.2,4,3,8,2.8,0.35,,,,,,,
B1919,1,1,W,0,9,20/07/2018,46.8,8.7,3,0,3.7,2.4,0.648648649,4,,,,,,
A904,1,1,W,0,9,19/07/2018,15.4,8.3,3,1,5.9,1.3,0.220338983,,,,,,,
A579,1,1,W,0,9,20/07/2018,20.3,7.5,4,1,6.3,2.4,0.380952381,,,,,,,
A518,0,1,W,1,11,18/07/2018,52.4,5.7,5,0,6.1,5.5,0.901639344,,,,,,,
A1976,0,1,V,0,8,19/07/2018,48.4,7.1,4,1,6.8,6.9,1.014705882,,,,,,,
B1613,1,1,W,0,8,20/07/2018,19.2,6.3,2,0,3.5,2.8,0.8,,,,,,,
A1084,0,0,V,1,9,20/07/2018,30.2,5.4,3,0,3.3,3.8,1.151515152,,,,,,,
A774,0,1,W,1,11,19/07/2018,40.7,5.7,4,0,4.6,3.1,0.673913043,,,,,,,
A1121,1,0,W,0,7,17/07/2018,11.4,3.8,2,0,1.8,1.2,0.666666667,,,,,,,
A39,0,1,W,1,11,19/07/2018,48.8,5.4,4,0,4.7,3.3,0.70212766,,,,,,,
A860,0,1,V,1,9,19/07/2018,46.8,6.9,4,2,5.4,6.4,1.185185185,,,,,,,
A1135,0,0,W,1,7,20/07/2018,14.3,5.2,2,0,2.1,2.3,1.095238095,,,,,,,
A1411,0,1,W,0,9,19/07/2018,19.2,8.5,4,3,4.8,2.9,0.604166667,,,,,,,
A176,0,1,W,1,10,19/07/2018,46.4,6.2,4,0,4.9,8.3,1.693877551,,,,,,,
A871,0,1,W,0,8,20/07/2018,17,6.8,3,1,4.6,3.3,0.717391304,,,,,,,
A535,0,1,W,0,8,20/07/2018,18.6,9.1,3,0,4.3,2,0.465116279,,,,,,,
A1561,0,1,W,0,6,17/07/2018,16.5,5.3,2,0,3,4.5,1.5,,,,,,,
B461,1,1,W,0,10,20/07/2018,26.7,6.3,4,0,5.9,3.1,0.525423729,,,,,,,
A369,0,1,W,0,9,19/07/2018,38.7,5.5,4,0,6.8,4.5,0.661764706,,,,,,,
B129,1,1,W,0,11,20/07/2018,38.5,8.1,4,0,5.6,5.1,0.910714286,,,,,,,
A1947,1,1,W,0,9,21/07/2018,24.2,8.9,4,3,7.6,4.1,0.539473684,,,,,,,
A868,1,1,W,0,8,22/07/2018,18.5,8.5,3,0,5.2,2.5,0.480769231,,,,,,,
B1581,1,1,W,0,8,24/07/2018,19.5,8.9,4,0,5.2,2.2,0.423076923,,,,,,,
A1088,0,0,V,1,7,24/07/2018,24.8,4.5,2,0,2.5,4.9,1.96,,,,,,,
A967,0,1,W,0,8,24/07/2018,16,8.3,3,1,4.8,2.3,0.479166667,,,,,,,
A17,0,1,W,1,11,24/07/2018,61.4,4.7,5,0,7.3,6.1,0.835616438,,,,,,,
A914,0,1,W,0,8,23/07/2018,16.1,7.7,4,1,6,2.1,0.35,,,,,,,
A452,0,0,V,1,11,24/07/2018,64.7,5.6,4,5,3.5,5.6,1.6,,,,,,,
B468,1,1,W,0,6,24/07/2018,59.7,9.9,2,0,4.8,20.7,4.3125,,,,,,,
A35,1,1,W,1,12,23/07/2018,54.3,5.8,5,0,5.9,8,1.355932203,,,,,,,
A1478,0,0,W,1,12,24/07/2018,56.3,5.1,2,4,4.1,8.6,2.097560976,,,,,,,
A421,0,1,W,0,12,20/07/2018,56.3,5.6,5,1,5.5,7.9,1.436363636,,,,,,,
A590,0,1,W,0,11,23/07/2018,18.4,8.4,4,0,4.9,1.3,0.265306122,,,,,,,
A982,0,1,W,0,9,24/07/2018,15.4,7.3,3,1,4.5,1.3,0.288888889,,,,,,,
B1172,1,1,W,0,12,23/07/2018,97.8,7.8,4,0,5.8,7.7,1.327586207,7,,,,,,
A918,0,1,W,0,7,23/07/2018,15.8,7.9,3,1,4.7,2.3,0.489361702,,,,,,,
A101,0,0,V,1,10,20/07/2018,51.9,4.2,4,0,4.3,6.7,1.558139535,,,,,,,
A1096,0,0,V,1,6,24/07/2018,23,5.4,1,0,1.6,1.6,1,,,,,,,
A500,0,1,V,0,11,20/07/2018,63.6,7.4,4,1,6.8,7,1.029411765,,,,,,,
A434,0,1,W,0,11,23/07/2018,26.3,8.9,3,0,5.1,1.7,0.333333333,,,,,,,
B1181,1,1,W,0,9,24/07/2018,17,7.6,2,0,2.9,1,0.344827586,,,,,,,
A1295,0,1,W,1,10,21/07/2018,49.9,5.2,5,0,5.9,6.2,1.050847458,,,,,,,
A445,0,0,V,1,10,21/07/2018,33.5,5,2,0,2.7,7.7,2.851851852,,,,,,,
A1669,1,0,V,1,8,21/07/2018,70.8,5.8,3,2,4.4,14.6,3.318181818,,,,,,,
A1717,1,0,W,1,10,24/07/2018,13.4,3.9,1,0,1.9,0.5,0.263157895,,,,,,,
A181,0,1,W,1,12,23/07/2018,55.6,5.1,4,0,5.7,4.8,0.842105263,,,,,,,
A389,1,1,W,1,10,20/07/2018,57.9,5.6,4,0,4.9,8.6,1.755102041,,,,,,,
