"","Germ_date","Trans_date","Unique_ID","Host_code","Population","Euphrasia_sp","Leaf collected","Indumentum","Flower colour","Purple flushed","Node","Flower date","Height","Corolla size","Teeth","Branches","Leaf length","Internode length","Cauline ratio","Euphrasia_sp2","Population2"
"409","15/05/2018","23/05/2018","B2055","PLA","M1787","Euphrasia montana",1,1,"W","0","7",2018-07-15,33.9,"9.3","4","0","5","3.4","0.68","Euphrasia montana","M1787"
"410","17/04/2018","26/04/2018","B1234","PLA","R1764","Euphrasia rostkoviana",1,1,"W","0","9",2018-07-13,31.4,"8.4","4","1","7.1","4","0.563380282","Euphrasia rostkoviana","R1764"
"411","13/04/2018","24/04/2018","B661","HLA","R1762","Euphrasia rostkoviana",1,1,"W","0","8",2018-07-15,29.7,"8.9","3","0","3.9","3.3","0.846153846","Euphrasia rostkoviana","R1762"
"412","17/04/2018","26/04/2018","A1009","OVU","A1763","Euphrasia anglica",0,1,"W","0","8",2018-07-13,17.6,"7.8","4","0","5","1.9","0.38","Euphrasia anglica","A1766"
"413","10/04/2018","19/04/2018","A193","DFL","A1766","Euphrasia anglica",0,1,"W","0","11",2018-07-14,24.1,"8","3","4","5.4","2.1","0.388888889","Euphrasia anglica","A1766"
"414","09/04/2018","19/04/2018","A111","LPE","M1769","Euphrasia micrantha",0,0,"W","1","7",2018-07-13,38.4,"4.6","3","0","4.5","14.6","3.244444444","Euphrasia micrantha","M1769"
"415","17/04/2018","26/04/2018","A911","LPE","A1763","Euphrasia anglica",0,1,"W","0","7",2018-07-14,26.9,"8.6","5","2","7","3.2","0.457142857","Euphrasia anglica","A1766"
"416","17/04/2018","26/04/2018","A865","ACU","A1763","Euphrasia anglica",0,1,"W","0","7",2018-07-15,13.2,"5.8","2","0","4.1","1.5","0.365853659","Euphrasia anglica","A1766"
"417","11/04/2018","23/04/2018","B459","PLA","R1762","Euphrasia rostkoviana",1,1,"W","0","8",2018-07-14,24,"7.5","4","0","4.7","2.9","0.617021277","Euphrasia rostkoviana","R1762"
"418","13/04/2018","23/04/2018","A599","ACU","M1769","Euphrasia micrantha",0,0,"V","0","6",2018-07-14,7.7,"3.8","1","0","1.5","0.4","0.266666667","Euphrasia micrantha","M1769"
"419","25/04/2018","02/05/2018","B1842","PLA","R1762","Euphrasia rostkoviana",1,1,"W","0","7",2018-07-15,28.6,"6.3","3","0","4.8","3.2","0.666666667","Euphrasia rostkoviana","R1762"
"420","17/04/2018","26/04/2018","A922","LPE","A1763","Euphrasia anglica",0,1,"W","0","9",2018-07-14,21,"7.8","3","2","5.5","2.2","0.4","Euphrasia anglica","A1766"
"421","09/04/2018","19/04/2018","A70","LPE","A1766","Euphrasia anglica",0,1,"W","0","10",2018-07-14,35.6,"7.8","4","7","8.4","6.8","0.80952381","Euphrasia anglica","A1766"
"422","25/04/2018","02/05/2018","B1840","HLA","R1765","Euphrasia rostkoviana",1,1,"W","0","10",2018-07-15,36.3,"6.4","4","2","6.2","3.2","0.516129032","Euphrasia rostkoviana","R1765"
"423","17/04/2018","26/04/2018","A773","LCO","V1761","Euphrasia vigursii",0,1,"V","0","9",2018-07-14,70.3,"7.2","4","3","8.8","11.3","1.284090909","Euphrasia vigursii","V1761"
"424","10/04/2018","19/04/2018","A220","LPE","A1763","Euphrasia anglica",0,1,"W","0","8",2018-07-14,24.5,"7.4","4","1","6.5","3.3","0.507692308","Euphrasia anglica","A1766"
"425","09/04/2018","19/04/2018","B151","PLA","M1787","Euphrasia montana",1,1,"W","0","7",2018-07-15,16.4,"7.3","3","0","4","1.6","0.4","Euphrasia montana","M1787"
"426","09/04/2018","19/04/2018","B156","PLA","M1787","Euphrasia montana",1,1,"W","0","8",2018-07-15,20.6,"6.2","3","0","3.5","1.8","0.514285714","Euphrasia montana","M1787"
"427","17/04/2018","26/04/2018","A775","LCO","T1761","Euphrasia vigursii",0,1,"W","1","10",2018-07-16,48.7,"5.7","5","0","5.4","6.2","1.148148148","Euphrasia tetraquetra","T1761"
"428","09/04/2018","19/04/2018","A112","LPE","M1769","Euphrasia micrantha",0,0,"W","1","8",2018-07-16,23.1,"5.6","2","0","2.4","7.4","3.083333333","Euphrasia micrantha","M1769"
"429","10/04/2018","19/04/2018","A259","VCH","M1769","Euphrasia micrantha",0,0,"W","0","7",2018-07-16,28.6,"4.8","2","0","3.3","8","2.424242424","Euphrasia micrantha","M1769"
"430","30/04/2018","02/05/2018","A1854","VCH","A1763","Euphrasia anglica",0,1,"W","0","8",2018-07-16,17.6,"9.1","4","1","6.9","1.7","0.246376812","Euphrasia anglica","A1766"
"431","17/04/2018","26/04/2018","B1230","PLA","R1764","Euphrasia rostkoviana",1,1,"W","0","9",2018-07-16,35.2,"8.4","3","0","4.9","4.6","0.93877551","Euphrasia rostkoviana","R1764"
